"INCIDENT INFO","DESCRIPTION","START_DT","MODIFIED_DT","QUADRANT","Longitude","Latitude","Count","id","Point"
" Southland Drive and 7 Street SE ","There is an incident involving a pedestrian- EMS on site.","2024/09/08 10:45:57 AM","2024/09/08 10:48:05 AM","SE","-114.04418652364","50.96415823442","1","2024-09-08T10:45:5750.96415823442137-114.04418652364305","POINT (-114.04418652364305 50.96415823442137)"
" Centre Street and 4 Avenue SW ","There is an incident involving a pedestrian- EMS on site.","2024/09/07 10:51:58 PM","2024/09/07 11:48:31 PM","NW","-114.06273257658","51.04932875375","1","2024-09-07T22:51:5851.04932875374719-114.06273257657509","POINT (-114.06273257657509 51.04932875374719)"
" Westbound Bow Trail at 14 Street SW ","There is an incident involving a pedestrian- EMS on site. Blocking the right shoulder","2024/09/07 10:27:38 PM","2024/09/07 11:08:14 PM","SW","-114.09377364412","51.04707860862","1","2024-09-07T22:27:3851.0470786086238-114.093773644118","POINT (-114.093773644118 51.0470786086238)"
" Westbound Bow Trail at 14 Street SW ","There is an incident involving a pedestrian- EMS on site. Partially blocking the right lane","2024/09/07 10:27:38 PM","2024/09/07 10:34:07 PM","SW","-114.09411574478","51.04706421978","1","2024-09-07T22:27:3851.047064219777155-114.09411574477741","POINT (-114.09411574477741 51.047064219777155)"
" Cityscape Boulevard and Cityscape SQ NE ","There is an incident involving a pedestrian- EMS on site.","2024/09/06 05:23:19 PM","2024/09/06 07:18:53 PM","NE","-113.96790611065","51.14711370101","1","2024-09-06T17:23:1951.14711370100935-113.96790611065386","POINT (-113.96790611065386 51.14711370100935)"
" Northbound Macleod Trail and 5 Avenue SE ","There is an incident involving a pedestrian- EMS on site. Blocking the left lane","2024/09/06 02:59:04 PM","2024/09/06 03:04:33 PM","SE","-114.05790837957","51.04824968925","1","2024-09-06T14:59:0451.04824968924914-114.05790837957332","POINT (-114.05790837957332 51.04824968924914)"
" Centre Street S and 5 Avenue SE ","There is an incident involving a pedestrian- EMS on site. blocking the right lane","2024/09/06 09:49:02 AM","2024/09/06 10:39:17 AM","SE","-114.06279976272","51.04838839214","1","2024-09-06T09:49:0251.04838839214192-114.06279976271713","POINT (-114.06279976271713 51.04838839214192)"
" Northbound Macleod Trail at 50 Avenue SW ","There is an incident involving a pedestrian- EMS on site. Blocking the right lane","2024/09/05 04:46:32 PM","2024/09/05 05:19:09 PM","SW","-114.06789768898","51.00871867811","1","2024-09-05T16:46:3251.00871867810505-114.067897688979","POINT (-114.067897688979 51.00871867810505)"
" Auburn Glen Lane and Auburn Glen Wy SE ","There is an incident involving a pedestrian- EMS on site.","2024/09/05 07:56:51 AM","2024/09/05 08:03:25 AM","SE","-113.9575763875","50.89683147175","1","2024-09-05T07:56:5150.89683147174557-113.95757638749859","POINT (-113.95757638749859 50.89683147174557)"
" Tuscany Springs Boulevard and Tuscany Boulevard NW ","There is an incident involving a pedestrian- EMS on site.","2024/09/03 02:18:59 PM","2024/09/03 03:03:42 PM","NW","-114.23869383221","51.12552451107","1","2024-09-03T14:18:5951.12552451107001-114.23869383221147","POINT (-114.23869383221147 51.12552451107001)"
" 12 Avenue and 6 Street SW ","There is an incident involving a pedestrian- EMS on site. Blocking the WB lanes","2024/09/02 07:53:12 PM","2024/09/02 08:48:04 PM","SW","-114.07659727086","51.04180219623","1","2024-09-02T19:53:1251.04180219622928-114.07659727085736","POINT (-114.07659727085736 51.04180219622928)"
" 44 Street and 8 Avenue SE ","There is an incident involving a pedestrian- EMS on site.","2024/09/01 07:45:53 PM","2024/09/01 07:47:13 PM","NW","-113.96999650323","51.04516322137","1","2024-09-01T19:45:5351.04516322136749-113.96999650322638","POINT (-113.96999650322638 51.04516322136749)"
" Edmonton Trail and 7 Avenue NE ","There is an incident involving a pedestrian- EMS on site.","2024/08/31 10:57:43 AM","2024/08/31 01:08:22 PM","NE","-114.05431115123","51.05886054455","1","2024-08-31T10:57:4351.05886054455097-114.05431115122597","POINT (-114.05431115122597 51.05886054455097)"
" 15 Avenue and 11 Street SW ","There is an incident involving a pedestrian- EMS on site.","2024/08/31 09:32:30 AM","2024/08/31 10:02:30 AM","SW","-114.08911623693","51.03930810711","1","2024-08-31T09:32:3051.03930810710562-114.08911623693072","POINT (-114.08911623693072 51.03930810710562)"
" 17 Avenue and 47 Street SE ","There is an incident involving a pedestrian- EMS on site.","2024/08/31 08:49:57 AM","2024/08/31 09:33:58 AM","SE","-113.9657581294","51.03791551835","1","2024-08-31T08:49:5751.037915518351824-113.96575812940382","POINT (-113.96575812940382 51.037915518351824)"
" Corner Meadows Pa and Corner Meadows Gate NE ","There is an incident involving a pedestrian- EMS on site.","2024/08/30 07:14:51 AM","2024/08/30 07:54:44 AM","NE","-113.93375569977","51.15152131654","1","2024-08-30T07:14:5151.15152131654198-113.93375569977499","POINT (-113.93375569977499 51.15152131654198)"
" Tarington Road and Taradale Drive NE ","There is an incident involving a pedestrian- EMS Dispatched.","2024/08/29 11:13:31 PM","2024/08/29 11:14:22 PM","NE","-113.93146042228","51.11408910514","1","2024-08-29T23:13:3151.11408910513567-113.93146042228086","POINT (-113.93146042228086 51.11408910513567)"
" Castlebrook Drive and Falconridge Boulevard NE ","There is an incident involving a pedestrian- EMS on site.","2024/08/29 06:42:05 PM","2024/08/29 07:26:42 PM","NE","-113.95659808241","51.10314052439","1","2024-08-29T18:42:0551.10314052439256-113.95659808241493","POINT (-113.95659808241493 51.10314052439256)"
" Bowness Road and 64 Street NW ","There is an incident involving a pedestrian- EMS on site.","2024/08/29 11:25:11 AM","2024/08/29 11:49:03 AM","NW","-114.18181949898","51.08650624115","1","2024-08-29T11:25:1151.08650624115157-114.1818194989768","POINT (-114.1818194989768 51.08650624115157)"
" 19 Street and 9 Avenue SE ","There is an incident involving a pedestrian- EMS on site.","2024/08/27 04:31:55 PM","2024/08/27 05:01:50 PM","SE","-114.01995132252","51.03541833381","1","2024-08-27T16:31:5551.035418333812274-114.01995132252054","POINT (-114.01995132252054 51.035418333812274)"
" Brentwood Wy and Brentwood Cm NW ","There is an incident involving a pedestrian- EMS on site.","2024/08/25 05:37:21 PM","2024/08/25 06:02:42 PM","NW","-114.12880061547","51.08690137777","1","2024-08-25T17:37:2151.08690137776726-114.12880061546893","POINT (-114.12880061546893 51.08690137776726)"
" Maddock Drive and 59 Street NE ","There is an incident involving a pedestrian- EMS on site.","2024/08/25 04:10:13 PM","2024/08/25 04:48:26 PM","NE","-113.94886418332","51.05437071495","1","2024-08-25T16:10:1351.05437071495257-113.94886418331967","POINT (-113.94886418331967 51.05437071495257)"
" Eastbound Southland Drive at Macleod Trail S ","There is an incident involving a pedestrian- EMS on site. Blocking the right lanes","2024/08/24 09:20:53 PM","2024/08/24 09:22:36 PM","SW","-114.07266119743","50.9649368978","1","2024-08-24T21:20:5350.96493689780173-114.0726611974301","POINT (-114.0726611974301 50.96493689780173)"
" 10 Avenue and 1 Street SW ","There is an incident involving a pedestrian- EMS on site.","2024/08/24 01:55:56 AM","2024/08/24 01:58:15 AM","SW","-114.06566159705","51.04339518061","1","2024-08-24T01:55:5651.043395180614674-114.06566159704762","POINT (-114.06566159704762 51.043395180614674)"
" Taradale Drive and Tararidge Drive NE ","There is an incident involving a pedestrian- EMS on site.","2024/08/23 07:08:32 PM","2024/08/23 08:30:10 PM","NW","-113.94054275566","51.11386439066","1","2024-08-23T19:08:3251.113864390657554-113.9405427556578","POINT (-113.9405427556578 51.113864390657554)"
" Eastbound 17 Avenue at 10 Street SW ","There is an incident involving a pedestrian- EMS on site. Blocking the right lane","2024/08/23 04:58:28 PM","2024/08/23 05:06:18 PM","SW","-114.08940041067","51.03782233474","1","2024-08-23T16:58:2851.037822334740596-114.08940041067167","POINT (-114.08940041067167 51.037822334740596)"
" 17 Avenue and 60 Street SE ","There is an incident involving a pedestrian- EMS on site.","2024/08/23 02:59:31 PM","2024/08/23 04:15:42 PM","SE","-113.94696352785","51.03791425409","1","2024-08-23T14:59:3151.037914254090325-113.94696352785026","POINT (-113.94696352785026 51.037914254090325)"
" 26 Street and 3 Avenue NW ","There is an incident involving a pedestrian- EMS on site.","2024/08/23 01:34:11 PM","2024/08/23 02:12:25 PM","NW","-114.12290947385","51.05511835374","1","2024-08-23T13:34:1151.05511835373878-114.1229094738534","POINT (-114.1229094738534 51.05511835373878)"
" Maidstone Drive and 4 Avenue NE ","There is an incident involving a pedestrian- EMS on site.","2024/08/22 06:36:04 PM","2024/08/22 09:09:57 PM","NE","-113.95318527263","51.05683975325","1","2024-08-22T18:36:0451.05683975325174-113.95318527263403","POINT (-113.95318527263403 51.05683975325174)"
" Maidstone Drive and 59 Street NE ","There is an incident involving a pedestrian- EMS on site.","2024/08/22 06:36:04 PM","2024/08/22 06:38:42 PM","NE","-113.94684758319","51.05625190259","1","2024-08-22T18:36:0451.05625190259228-113.94684758319062","POINT (-113.94684758319062 51.05625190259228)"
" 20 Street and 54 Avenue SW ","There is an incident involving a pedestrian- EMS on site.","2024/08/22 10:22:29 AM","2024/08/22 11:17:38 AM","SW","-114.10919923552","51.00500848542","1","2024-08-22T10:22:2951.0050084854164-114.10919923552198","POINT (-114.10919923552198 51.0050084854164)"
" 11 Street and 8 Avenue SE ","There is an incident involving a pedestrian- EMS Dispatched.","2024/08/21 06:11:34 AM","2024/08/21 06:54:47 AM","SE","-114.03629070297","51.04305631221","1","2024-08-21T06:11:3451.04305631221367-114.03629070297272","POINT (-114.03629070297272 51.04305631221367)"
" Southbound Blackfoot Trail and 58 Avenue SE ","There is an incident involving a pedestrian- EMS on site. Blocking the left lanes","2024/08/20 07:16:40 AM","2024/08/20 07:21:05 AM","SE","-114.049422274","51.00149979838","1","2024-08-20T07:16:4051.00149979837958-114.04942227400159","POINT (-114.04942227400159 51.00149979837958)"
" 11 Avenue and 2 Street SW ","There is an incident involving a pedestrian- EMS on site.","2024/08/20 12:34:23 AM","2024/08/20 12:35:29 AM","SW","-114.06819308609","51.04253125564","1","2024-08-20T00:34:2351.04253125564155-114.06819308608569","POINT (-114.06819308608569 51.04253125564155)"
" 68 Avenue and 44 Street SE ","There is an incident involving a pedestrian- EMS on site.","2024/08/19 05:43:45 PM","2024/08/19 06:30:50 PM","SE","-113.97048744186","50.9933938526","1","2024-08-19T17:43:4550.993393852602026-113.97048744186404","POINT (-113.97048744186404 50.993393852602026)"
" 15 Avenue at 1 Street SE ","There is an incident involving a pedestrian- EMS Dispatched.","2024/08/19 10:35:39 AM","2024/08/19 10:37:39 AM","SE","-114.06107152423","51.03851911709","1","2024-08-19T10:35:3951.03851911709438-114.06107152422504","POINT (-114.06107152422504 51.03851911709438)"
" 5 Street and 10 Avenue SW ","There is an incident involving a pedestrian- EMS on site. Blocking multi lanes","2024/08/18 09:23:04 PM","2024/08/18 09:25:23 PM","SW","-114.0740119008","51.0436307565","1","2024-08-18T21:23:0451.04363075650485-114.07401190080031","POINT (-114.07401190080031 51.04363075650485)"
" 89 Avenue and Elbow Drive SW ","There is an incident involving a pedestrian- EMS on site.","2024/08/18 08:53:53 AM","2024/08/18 08:55:05 AM","SW","-114.08450421154","50.97353024094","1","2024-08-18T08:53:5350.97353024094317-114.0845042115407","POINT (-114.0845042115407 50.97353024094317)"
" 52 Street and Maryvale Drive NE ","There is an incident involving a pedestrian- EMS on site.","2024/08/17 10:45:42 PM","2024/08/17 11:15:28 PM","NE","-113.95737737728","51.05688783385","1","2024-08-17T22:45:4251.05688783385304-113.9573773772772","POINT (-113.9573773772772 51.05688783385304)"
" Radcliffe Drive and Radcliffe Pl SE ","There is an incident involving a pedestrian- EMS on site.","2024/08/17 09:32:48 PM","2024/08/17 10:49:03 PM","SE","-113.99227812352","51.04664167261","1","2024-08-17T21:32:4851.04664167260726-113.99227812351776","POINT (-113.99227812351776 51.04664167260726)"
" 38 Street and 25 Avenue NE ","There is an incident involving a pedestrian- EMS Dispatched.","2024/08/17 05:27:07 PM","2024/08/17 06:39:17 PM","NW","-113.97854682447","51.07572723697","1","2024-08-17T17:27:0751.07572723696974-113.97854682446557","POINT (-113.97854682446557 51.07572723696974)"
" Westbound 4 Avenue and 4 Street SW ","There is an incident involving a pedestrian- EMS Dispatched.  Blocking the right lane","2024/08/14 06:22:29 AM","2024/08/14 06:33:30 AM","SW","-114.07151183906","51.04959250495","1","2024-08-14T06:22:2951.049592504950546-114.0715118390645","POINT (-114.0715118390645 51.049592504950546)"
" Southbound 4 Street after 6 Avenue SE ","There is an incident involving a pedestrian- EMS on site.","2024/08/11 09:47:04 AM","2024/08/11 10:09:46 AM","SE","-114.05309546389","51.04673792442","1","2024-08-11T09:47:0451.04673792442101-114.05309546388786","POINT (-114.05309546388786 51.04673792442101)"
" 194 Avenue and Chaparral Valley Drive SE ","There is an incident involving a pedestrian- EMS on site.","2024/08/11 08:34:59 AM","2024/08/11 09:50:43 AM","SE","-114.01338954168","50.87766458914","1","2024-08-11T08:34:5950.877664589139236-114.01338954168051","POINT (-114.01338954168051 50.877664589139236)"
" Westbound 17 Avenue appraoching 19 Street SE ","There is an incident involving a pedestrian- EMS on site. Blocking the right lane","2024/08/10 08:18:21 PM","2024/08/10 08:22:07 PM","SE","-114.01748432565","51.03775732138","1","2024-08-10T20:18:2151.03775732137513-114.01748432564531","POINT (-114.01748432564531 51.03775732137513)"
" Castleridge Drive and Castleridge Boulevard NE ","There is an incident involving a pedestrian- EMS Dispatched.","2024/08/05 04:29:43 PM","2024/08/05 05:33:47 PM","NE","-113.96654720674","51.10836021181","1","2024-08-05T16:29:4351.108360211812595-113.96654720673655","POINT (-113.96654720673655 51.108360211812595)"
" Westbound Seton Boulevard at 45 Street SE ","There is an incident involving a pedestrian- EMS on site. Blocking the right lane","2024/08/05 10:36:28 AM","2024/08/05 10:39:13 AM","SE","-113.94905770805","50.8841486982","1","2024-08-05T10:36:2850.88414869820457-113.94905770804927","POINT (-113.94905770804927 50.88414869820457)"
" Eastbound 16 Avenue approaching Sarcee Trail NW ","There is an incident involving a pedestrian- EMS Dispatched.","2024/08/04 09:16:08 PM","2024/08/04 09:17:01 PM","SE","-113.97720843295","51.03939469762","1","2024-08-04T21:16:0851.03939469761727-113.97720843294528","POINT (-113.97720843294528 51.03939469761727)"
" Macleod Trail approaching 11 Avenue SE ","There is an incident involving a pedestrian- EMS on site. Blocking the right lanes","2024/08/03 09:22:35 PM","2024/08/03 09:24:09 PM","SE","-114.05832840717","51.04179314365","1","2024-08-03T21:22:3551.041793143645386-114.05832840717376","POINT (-114.05832840717376 51.041793143645386)"
" Northbound Macleod Trail approaching 11 Avenue SE ","There is an incident involving a pedestrian- EMS on site. Road closed Please use alternative route","2024/08/03 09:22:35 PM","2024/08/03 10:54:33 PM","SE","-114.05833751588","51.04223336658","1","2024-08-03T21:22:3551.042233366579836-114.0583375158788","POINT (-114.0583375158788 51.042233366579836)"
" 3 Street and 7 Avenue SE ","There is an incident involving a pedestrian- EMS on site.","2024/08/03 04:28:16 PM","2024/08/03 04:42:17 PM","SE","-114.05557608565","51.04627874442","1","2024-08-03T16:28:1651.04627874442339-114.05557608565432","POINT (-114.05557608565432 51.04627874442339)"
" Rundlehorn Drive and 26 Avenue NE ","There is an incident involving a pedestrian- EMS Dispatched.","2024/08/01 11:39:40 PM","2024/08/01 11:41:30 PM","NE","-113.94095099864","51.07614993288","1","2024-08-01T23:39:4051.076149932877684-113.9409509986389","POINT (-113.9409509986389 51.076149932877684)"
" Shaganappi Trail and Sage Valley Boulevard NW ","There is an incident involving a pedestrian- EMS on site.","2024/08/01 07:51:35 PM","2024/08/01 08:59:48 PM","NW","-114.1569685675","51.17519577275","1","2024-08-01T19:51:3551.17519577275104-114.15696856750495","POINT (-114.15696856750495 51.17519577275104)"
" Saddletowne Ci and Taravista Drive NE ","There is an incident involving a pedestrian- EMS Dispatched.","2024/08/01 07:28:56 PM","2024/08/01 07:53:08 PM","NE","-113.94379378114","51.12136774745","1","2024-08-01T19:28:5651.12136774744521-113.94379378113656","POINT (-113.94379378113656 51.12136774744521)"
" 9 Avenue at 8 Street SW ","There is an incident involving a pedestrian- EMS on site. Blocking the left lane","2024/08/01 03:29:04 PM","2024/08/01 03:32:47 PM","SW","-114.08132390126","51.04511738455","1","2024-08-01T15:29:0451.04511738455002-114.08132390125509","POINT (-114.08132390125509 51.04511738455002)"
" 52 Street and 14 Avenue SE ","There is an incident involving a pedestrian- EMS on site.","2024/08/01 08:45:19 AM","2024/08/01 10:08:49 AM","SE","-113.95838375131","51.04094689328","1","2024-08-01T08:45:1951.04094689327692-113.95838375130778","POINT (-113.95838375130778 51.04094689327692)"
" 35 Street and 16 Avenue SE ","There is an incident involving a pedestrian- EMS Dispatched.","2024/07/31 08:11:40 PM","2024/07/31 08:12:13 PM","SE","-113.98310567613","51.03936522363","1","2024-07-31T20:11:4051.039365223627186-113.98310567612727","POINT (-113.98310567612727 51.039365223627186)"
" Longview Cm and Aldersyde Gate SE ","There is an incident involving a pedestrian- EMS Dispatched.","2024/07/31 06:16:50 PM","2024/07/31 07:28:24 PM","SE","-114.03047119243","50.86420703249","1","2024-07-31T18:16:5050.86420703249137-114.03047119243118","POINT (-114.03047119243118 50.86420703249137)"
" 4 Avenue and Riverfront Avenue SE ","There is an incident involving a pedestrian- EMS on site.","2024/07/31 04:52:25 PM","2024/07/31 05:33:28 PM","SE","-114.05283790658","51.04937095288","1","2024-07-31T16:52:2551.04937095287947-114.05283790658062","POINT (-114.05283790658062 51.04937095287947)"
" Eau Claire Avenue and 5 Street SW ","There is an incident involving a pedestrian- EMS on site.","2024/07/31 08:26:06 AM","2024/07/31 09:22:52 AM","SW","-114.07339365449","51.05252513515","1","2024-07-31T08:26:0651.05252513515428-114.0733936544942","POINT (-114.0733936544942 51.05252513515428)"
" 4 Street north of 12 Avenue SW ","There is an incident involving a pedestrian- EMS Dispatched.","2024/07/25 10:14:54 PM","2024/07/25 10:16:19 PM","SW","-114.07150789001","51.04211862334","1","2024-07-25T22:14:5451.04211862334108-114.0715078900128","POINT (-114.0715078900128 51.04211862334108)"
" 25 Avenue and 1 Street SW ","There is an incident involving a pedestrian- EMS Dispatched.","2024/07/24 07:12:28 PM","2024/07/24 07:15:51 PM","SW","-114.06656908557","51.03043666702","1","2024-07-24T19:12:2851.03043666701706-114.06656908557495","POINT (-114.06656908557495 51.03043666701706)"
" 19 Avenue and 48 Street SE ","There is an incident involving a pedestrian- EMS on site.","2024/07/22 11:45:28 AM","2024/07/22 01:02:27 PM","SE","-113.96435191696","51.03628966206","1","2024-07-22T11:45:2851.03628966206477-113.96435191696357","POINT (-113.96435191696357 51.03628966206477)"
" 5 Avenue and 6 Street SW ","There is an incident involving a pedestrian- EMS on site.","2024/07/21 02:38:44 AM","2024/07/21 03:43:14 AM","SW","-114.07610759021","51.04876353673","1","2024-07-21T02:38:4451.04876353673183-114.07610759020626","POINT (-114.07610759020626 51.04876353673183)"
" Southbound 36 Street at 4 Avenue NE ","There is an incident involving a pedestrian- EMS on site. Blocking the right lanes","2024/07/21 12:28:37 AM","2024/07/21 02:09:41 AM","NW","-113.98198279995","51.05549253978","1","2024-07-21T00:28:3751.05549253978483-113.9819827999487","POINT (-113.9819827999487 51.05549253978483)"
" 36 Street at 4 Avenue NE ","There is an incident involving a pedestrian- EMS on site.","2024/07/21 12:28:37 AM","2024/07/21 02:39:42 AM","NE","-113.981720728","51.05524078703","1","2024-07-21T00:28:3751.05524078702808-113.98172072799863","POINT (-113.98172072799863 51.05524078702808)"
" 44 Street and 14 Avenue SE ","There is an incident involving a pedestrian- EMS on site.","2024/07/19 11:04:17 PM","2024/07/20 12:00:57 AM","NW","-113.97000122933","51.04093696794","1","2024-07-19T23:04:1751.040936967938684-113.97000122933119","POINT (-113.97000122933119 51.040936967938684)"
" 64 Avenue west of Deerfoot Trail NE ","There is an incident involving a pedestrian- EMS on site. Blocking the WB right shoulder","2024/07/18 11:05:03 AM","2024/07/18 12:12:28 PM","NE","-114.04957175923","51.110674714","1","2024-07-18T11:05:0351.11067471400495-114.04957175923356","POINT (-114.04957175923356 51.11067471400495)"
" 28 Street and 26 Avenue SW ","There is an incident involving a pedestrian- EMS Dispatched.","2024/07/18 09:01:12 AM","2024/07/18 09:27:05 AM","SW","-114.12811066367","51.03005269707","1","2024-07-18T09:01:1251.03005269706514-114.1281106636712","POINT (-114.1281106636712 51.03005269706514)"
" 3 Street south of 7 Avenue SE ","There is an incident involving a pedestrian- EMS on site. Blocking the multiple SB and NB lanes","2024/07/17 08:13:03 AM","2024/07/17 08:14:51 AM","SE","-114.05560986118","51.04602108265","1","2024-07-17T08:13:0351.04602108264699-114.0556098611793","POINT (-114.0556098611793 51.04602108264699)"
" 68 Street and 17 Avenue SE ","There is an incident involving a pedestrian- EMS Dispatched. Blocking the WB right lane","2024/07/16 09:19:39 PM","2024/07/16 09:56:20 PM","SE","-113.9355298178","51.03786598476","1","2024-07-16T21:19:3951.037865984756166-113.93552981780338","POINT (-113.93552981780338 51.037865984756166)"
" Saddleland Cr and Saddlemont Boulevard NE ","There is an incident involving a pedestrian- EMS Dispatched.","2024/07/16 08:39:24 PM","2024/07/16 09:17:48 PM","NE","-113.93583645605","51.12973432702","1","2024-07-16T20:39:2451.12973432702295-113.9358364560486","POINT (-113.9358364560486 51.12973432702295)"
" Harvest Hills Blvd and 96 Avenue NE ","There is an incident involving a pedestrian- EMS Dispatched.","2024/07/14 11:37:58 PM","2024/07/15 12:21:00 AM","NE","-114.0693214551","51.1424884253","1","2024-07-14T23:37:5851.142488425295525-114.06932145510282","POINT (-114.06932145510282 51.142488425295525)"
" 6 Avenue and 3 Street SE ","There is an incident involving a pedestrian- EMS Dispatched. Blocking the WB lanes","2024/07/14 05:10:00 AM","2024/07/14 05:12:05 AM","SE","-114.05589944135","51.04727357362","1","2024-07-14T05:10:0051.047273573624196-114.05589944134672","POINT (-114.05589944134672 51.047273573624196)"
" 14 Street and 26 Avenue SW ","There is an incident involving a pedestrian- EMS Dispatched.","2024/07/14 03:30:37 AM","2024/07/14 03:53:10 AM","SW","-114.09468340186","51.03044073421","1","2024-07-14T03:30:3751.03044073421009-114.09468340185518","POINT (-114.09468340185518 51.03044073421009)"
" University Avenue and McLaurin Street NW ","There is an incident involving a pedestrian- EMS Dispatched.","2024/07/13 11:07:26 PM","2024/07/13 11:54:31 PM","NW","-114.14783823947","51.07751951803","1","2024-07-13T23:07:2651.07751951803411-114.14783823947388","POINT (-114.14783823947388 51.07751951803411)"
" Cornerstone Gv and Cornerstone Blvd NE ","There is an incident involving a pedestrian- EMS on site.","2024/07/13 08:40:37 PM","2024/07/13 09:53:58 PM","NE","-113.93822983458","51.15635556618","1","2024-07-13T20:40:3751.1563555661841-113.93822983457633","POINT (-113.93822983457633 51.1563555661841)"
" Bowness Road and 62 Street NW ","There is an incident involving a pedestrian- EMS on site.","2024/07/13 12:03:31 PM","2024/07/13 01:24:29 PM","NW","-114.17833896183","51.08496070265","1","2024-07-13T12:03:3151.084960702645766-114.17833896182655","POINT (-114.17833896182655 51.084960702645766)"
" 52 Avenue and 40 Street NE ","There is an incident involving a pedestrian- EMS on site.","2024/07/12 12:21:57 PM","2024/07/12 12:23:02 PM","NW","-113.97618857492","51.10012122909","1","2024-07-12T12:21:5751.10012122908503-113.97618857491793","POINT (-113.97618857491793 51.10012122908503)"
" Southbound Macleod Trail at 86 Avenue SE ","There is an incident involving a pedestrian- EMS on site. Blocking the right lane","2024/07/09 11:43:06 AM","2024/07/09 11:52:52 AM","SE","-114.07169293968","50.97590718011","1","2024-07-09T11:43:0650.97590718011312-114.07169293968266","POINT (-114.07169293968266 50.97590718011312)"
" Saddlestone Drive and Saddlebrook Drive NE ","There is an incident involving a pedestrian- EMS on site.","2024/07/08 05:13:27 PM","2024/07/08 06:30:15 PM","NE","-113.92943657437","51.12896508619","1","2024-07-08T17:13:2751.128965086193695-113.92943657437054","POINT (-113.92943657437054 51.128965086193695)"
" 5 Street and 11 Avenue SW ","There is an incident involving a pedestrian- EMS on site. Blocking the left lane","2024/07/08 04:54:44 PM","2024/07/08 05:59:37 PM","SW","-114.07407900409","51.0426973096","1","2024-07-08T16:54:4451.04269730959691-114.0740790040874","POINT (-114.0740790040874 51.04269730959691)"
" 12 Avenue approaching 1 Street SW ","There is an incident involving a pedestrian- EMS on site. Blocking the right lane","2024/07/07 10:59:57 AM","2024/07/07 11:01:23 AM","SW","-114.06658264973","51.04149467845","1","2024-07-07T10:59:5751.041494678448295-114.06658264972853","POINT (-114.06658264972853 51.041494678448295)"
" 8 Avenue and 44 Street SE ","There is an incident involving a pedestrian- EMS on site.","2024/07/06 05:18:32 PM","2024/07/06 05:26:02 PM","NW","-113.96999650323","51.04516322137","1","2024-07-06T17:18:3251.04516322136749-113.96999650322638","POINT (-113.96999650322638 51.04516322136749)"
" Bedford Ci and Bedford Pl NE ","There is an incident involving a pedestrian- EMS on site.","2024/07/06 03:34:09 PM","2024/07/06 04:08:45 PM","NE","-114.05822348635","51.12947637693","1","2024-07-06T15:34:0951.12947637692579-114.05822348635138","POINT (-114.05822348635138 51.12947637692579)"
" 36 Street at 44 Avenue NE ","There is an incident involving a pedestrian- EMS on site. NB 36 St is closed at Whitefield Dr NE SB 36 St is closed at McKnight Bv NE","2024/07/05 09:33:58 AM","2024/07/05 12:01:04 PM","NE","-113.98194208845","51.09120964616","1","2024-07-05T09:33:5851.09120964615536-113.98194208845477","POINT (-113.98194208845477 51.09120964615536)"
" Hidden Valley Gate and Beddington Trail NW ","There is an incident involving a pedestrian- EMS on site.","2024/07/04 09:47:26 PM","2024/07/04 10:14:55 PM","NW","-114.09778638785","51.14861723403","1","2024-07-04T21:47:2651.14861723403041-114.09778638784681","POINT (-114.09778638784681 51.14861723403041)"
" Falton Drive and Falshire Drive NE ","There is an incident involving a pedestrian- EMS Dispatched.","2024/07/04 02:28:23 PM","2024/07/04 03:22:45 PM","NE","-113.94099981142","51.10654652168","1","2024-07-04T14:28:2351.10654652167641-113.94099981142261","POINT (-113.94099981142261 51.10654652167641)"
" 11 Avenue and 8 Street SW ","There is an incident involving a pedestrian- EMS Dispatched. Blocking the WB right lane","2024/07/02 04:10:34 PM","2024/07/02 05:33:23 PM","SW","-114.08146274188","51.0428883727","1","2024-07-02T16:10:3451.04288837270355-114.08146274188262","POINT (-114.08146274188262 51.04288837270355)"
" 45 Street and Bow Trail SW ","There is an incident involving a pedestrian- EMS Dispatched.","2024/07/02 11:41:51 AM","2024/07/02 12:58:23 PM","SW","-114.15277502708","51.04851559807","1","2024-07-02T11:41:5151.048515598074836-114.15277502707903","POINT (-114.15277502707903 51.048515598074836)"
" Westbound 17 Avenue and 44 Street SE ","There is an incident involving a pedestrian- EMS on site. The road is closed between 42 St and 45 St. both EB and WB","2024/07/02 12:25:46 AM","2024/07/02 02:26:46 AM","SE","-113.97143629786","51.0379282812","1","2024-07-02T00:25:4651.03792828120455-113.97143629785751","POINT (-113.97143629785751 51.03792828120455)"
" Beddington Boulevard and Berkley Drive NW ","There is an incident involving a pedestrian- EMS Dispatched.","2024/07/01 05:39:38 PM","2024/07/01 05:56:45 PM","NW","-114.07697982258","51.12760190045","1","2024-07-01T17:39:3851.12760190044554-114.07697982257585","POINT (-114.07697982257585 51.12760190044554)"
" 58 Avenue and 3 Street SW ","There is an incident involving a pedestrian- EMS Dispatched.","2024/07/01 12:41:45 PM","2024/07/01 02:00:12 PM","SW","-114.07006734897","51.00144788876","1","2024-07-01T12:41:4551.00144788875945-114.07006734897354","POINT (-114.07006734897354 51.00144788875945)"
